WaveNum,PCT_Transmit
399.99,91
400.05,90.4
400.11,89.7
400.17,89.1
400.23,88.6
400.29,88.2
400.35,88
400.41,88.1
400.48,88.4
400.54,88.9
400.6,89.6
400.66,90.6
400.72,91.6
400.78,92.7
400.84,93.8
400.9,94.7
400.96,95.4
401.02,95.9
401.08,96.1
401.14,96.2
401.2,96.4
401.26,96.5
401.32,96.7
401.38,96.9
401.44,97.1
401.5,97.2
401.56,97.4
401.62,97.7
401.68,98
401.74,98.4
401.8,98.9
401.86,99.3
401.92,99.6
401.98,99.6
402.04,99.3
402.1,98.8
402.16,98.1
402.22,97.3
402.28,96.4
402.34,95.4
402.4,94.4
402.46,93.3
402.52,92.4
402.58,91.7
402.64,91.5
402.71,91.9
402.77,92.8
402.83,94.3
402.89,96
402.95,97.9
403.01,99.5
403.07,101
403.13,102
403.19,102
403.25,102
403.31,101
403.37,100
403.43,99.4
403.49,98.4
403.55,97.5
403.61,96.7
403.67,96
403.73,95.5
403.79,95.3
403.85,95.3
403.91,95.6
403.97,96
404.03,96.6
404.09,97.3
404.15,98
404.21,98.7
404.27,99.3
404.33,99.8
404.39,100
404.45,100
404.51,100
404.57,100
404.63,100
404.69,100
404.75,99.7
404.81,99.2
404.87,98.6
404.93,97.8
405,97
405.06,96.2
405.12,95.6
405.18,95.2
405.24,95.1
405.3,95.2
405.36,95.5
405.42,96
405.48,96.6
405.54,97.2
405.6,97.9
405.66,98.6
405.72,99.2
405.78,99.6
405.84,99.9
405.9,99.9
405.96,99.8
406.02,99.4
406.08,99
406.14,98.7
406.2,98.5
406.26,98.4
406.32,98.4
406.38,98.4
406.44,98.4
406.5,98.3
406.56,98
406.62,97.7
406.68,97.4
406.74,97.1
406.8,97.1
406.86,97.2
406.92,97.5
406.98,98
407.04,98.5
407.1,98.8
407.16,99
407.23,98.9
407.29,98.5
407.35,98
407.41,97.4
407.47,96.9
407.53,96.5
407.59,96.4
407.65,96.4
407.71,96.6
407.77,96.8
407.83,97.2
407.89,97.5
407.95,98
408.01,98.5
408.07,99.1
408.13,99.6
408.19,100
408.25,101
408.31,101
