FTIR Spectrum of Ammonia Molecule,
Wavenumber (cm-1),% of Transmittance
399.99,9.10E+01
400.05,9.04E+01
400.11,8.97E+01
400.17,8.91E+01
400.23,8.86E+01
400.29,8.82E+01
400.35,8.80E+01
400.41,8.81E+01
400.48,8.84E+01
400.54,8.89E+01
400.6,8.96E+01
400.66,9.06E+01
400.72,9.16E+01
400.78,9.27E+01
400.84,9.38E+01
400.9,9.47E+01
400.96,9.54E+01
401.02,9.59E+01
401.08,9.61E+01
401.14,9.62E+01
401.2,9.64E+01
401.26,9.65E+01
401.32,9.67E+01
401.38,9.69E+01
401.44,9.71E+01
401.5,9.72E+01
401.56,9.74E+01
401.62,9.77E+01
401.68,9.80E+01
401.74,9.84E+01
401.8,9.89E+01
401.86,9.93E+01
401.92,9.96E+01
401.98,9.96E+01
402.04,9.93E+01
402.1,9.88E+01
402.16,9.81E+01
402.22,9.73E+01
402.28,9.64E+01
402.34,9.54E+01
402.4,9.44E+01
402.46,9.33E+01
402.52,9.24E+01
402.58,9.17E+01
402.64,9.15E+01
402.71,9.19E+01
402.77,9.28E+01
402.83,9.43E+01
402.89,9.60E+01
402.95,9.79E+01
403.01,9.95E+01
403.07,1.01E+02
403.13,1.02E+02
403.19,1.02E+02
403.25,1.02E+02
403.31,1.01E+02
403.37,1.00E+02
403.43,9.94E+01
403.49,9.84E+01
403.55,9.75E+01
403.61,9.67E+01
403.67,9.60E+01
403.73,9.55E+01
403.79,9.53E+01
403.85,9.53E+01
403.91,9.56E+01
403.97,9.60E+01
404.03,9.66E+01
404.09,9.73E+01
404.15,9.80E+01
404.21,9.87E+01
404.27,9.93E+01
404.33,9.98E+01
404.39,1.00E+02
404.45,1.00E+02
404.51,1.00E+02
404.57,1.00E+02
404.63,1.00E+02
404.69,1.00E+02
404.75,9.97E+01
404.81,9.92E+01
404.87,9.86E+01
404.93,9.78E+01
405,9.70E+01
405.06,9.62E+01
405.12,9.56E+01
405.18,9.52E+01
405.24,9.51E+01
405.3,9.52E+01
405.36,9.55E+01
405.42,9.60E+01
405.48,9.66E+01
405.54,9.72E+01
405.6,9.79E+01
405.66,9.86E+01
405.72,9.92E+01
405.78,9.96E+01
405.84,9.99E+01
405.9,9.99E+01
405.96,9.98E+01
406.02,9.94E+01
406.08,9.90E+01
406.14,9.87E+01
406.2,9.85E+01
406.26,9.84E+01
406.32,9.84E+01
406.38,9.84E+01
406.44,9.84E+01
406.5,9.83E+01
406.56,9.80E+01
406.62,9.77E+01
406.68,9.74E+01
406.74,9.71E+01
406.8,9.71E+01
406.86,9.72E+01
406.92,9.75E+01
406.98,9.80E+01
407.04,9.85E+01
407.1,9.88E+01
407.16,9.90E+01
407.23,9.89E+01
407.29,9.85E+01
407.35,9.80E+01
407.41,9.74E+01
407.47,9.69E+01
407.53,9.65E+01
407.59,9.64E+01
407.65,9.64E+01
407.71,9.66E+01
407.77,9.68E+01
407.83,9.72E+01
407.89,9.75E+01
407.95,9.80E+01
408.01,9.85E+01
408.07,9.91E+01
408.13,9.96E+01
408.19,1.00E+02
408.25,1.01E+02
408.31,1.01E+02
408.37,1.01E+02
408.43,1.01E+02
408.49,1.01E+02
408.55,1.00E+02
408.61,1.00E+02
408.67,9.95E+01
408.73,9.88E+01
408.79,9.81E+01
408.85,9.73E+01
408.91,9.66E+01
408.97,9.61E+01
409.03,9.59E+01
409.09,9.60E+01
409.15,9.63E+01
409.21,9.68E+01
409.27,9.74E+01
409.33,9.79E+01
409.39,9.83E+01
409.45,9.85E+01
409.52,9.85E+01
409.58,9.84E+01
409.64,9.82E+01
409.7,9.80E+01
409.76,9.78E+01
409.82,9.76E+01
409.88,9.74E+01
409.94,9.73E+01
410,9.74E+01
410.06,9.77E+01
410.12,9.82E+01
410.18,9.89E+01
410.24,9.98E+01
410.3,1.01E+02
410.36,1.01E+02
410.42,1.01E+02
410.48,1.01E+02
410.54,1.01E+02
410.6,1.00E+02
410.66,9.94E+01
410.72,9.87E+01
410.78,9.81E+01
410.84,9.76E+01
410.9,9.73E+01
410.96,9.70E+01
411.02,9.69E+01
411.08,9.68E+01
411.14,9.68E+01
411.2,9.68E+01
411.26,9.67E+01
411.32,9.65E+01
411.38,9.63E+01
411.44,9.61E+01
411.5,9.59E+01
411.56,9.58E+01
411.62,9.60E+01
411.68,9.65E+01
411.75,9.72E+01
411.81,9.81E+01
411.87,9.89E+01
411.93,9.95E+01
411.99,9.98E+01
412.05,9.97E+01
412.11,9.94E+01
412.17,9.88E+01
412.23,9.83E+01
412.29,9.78E+01
412.35,9.75E+01
412.41,9.73E+01
412.47,9.72E+01
412.53,9.72E+01
412.59,9.72E+01
412.65,9.71E+01
412.71,9.70E+01
412.77,9.68E+01
412.83,9.65E+01
412.89,9.62E+01
412.95,9.58E+01
413.01,9.54E+01
413.07,9.51E+01
413.13,9.49E+01
413.19,9.50E+01
413.25,9.56E+01
413.31,9.64E+01
413.37,9.77E+01
413.43,9.91E+01
413.49,1.00E+02
413.55,1.02E+02
413.61,1.02E+02
413.67,1.02E+02
413.73,1.02E+02
413.79,1.01E+02
413.85,1.00E+02
413.91,9.88E+01
413.97,9.76E+01
414.04,9.65E+01
414.1,9.58E+01
414.16,9.54E+01
414.22,9.54E+01
414.28,9.56E+01
414.34,9.58E+01
414.4,9.61E+01
414.46,9.62E+01
414.52,9.62E+01
414.58,9.61E+01
414.64,9.59E+01
414.7,9.57E+01
414.76,9.56E+01
414.82,9.56E+01
414.88,9.58E+01
414.94,9.61E+01
415,9.65E+01
415.06,9.69E+01
415.12,9.74E+01
415.18,9.77E+01
415.24,9.81E+01
415.3,9.84E+01
415.36,9.86E+01
415.42,9.88E+01
415.48,9.89E+01
