"","Date","Intake","Stripe","Driver","Earnings"
"1","11/26/2019",36.98,0.7396,24.037,12.2034
"2","11/26/2019",36.98,0.7396,24.037,12.2034
"3","11/26/2019",36.98,0.7396,24.037,12.2034
"4","11/26/2019",36.98,0.7396,24.037,12.2034
"5","11/26/2019",36.98,0.7396,24.037,12.2034
"6","11/27/2019",8.44,0.1688,5.486,2.7852
"7","11/27/2019",8.44,0.1688,5.486,2.7852
"8","11/27/2019",7.17,0.1434,4.6605,2.3661
"9","11/27/2019",7.17,0.1434,4.6605,2.3661
"10","11/27/2019",7.17,0.1434,4.6605,2.3661
"11","11/27/2019",38.18,0.7636,24.817,12.5994
"12","11/27/2019",38.18,0.7636,24.817,12.5994
"13","11/27/2019",38.18,0.7636,24.817,12.5994
"14","11/27/2019",34.25,0.685,22.2625,11.3025
"15","11/27/2019",34.25,0.685,22.2625,11.3025
"16","11/27/2019",34.25,0.685,22.2625,11.3025
"17","11/27/2019",34.25,0.685,22.2625,11.3025
"18","11/27/2019",16.2,0.324,10.53,5.346
"19","12/12/2019",49.53,0.9906,32.1945,16.3449
"20","12/12/2019",49.53,0.9906,32.1945,16.3449
"21","12/12/2019",49.53,0.9906,32.1945,16.3449
"22","12/12/2019",13.2,0.264,8.58,4.356
"23","12/12/2019",6.42,0.1284,4.173,2.1186
"24","12/12/2019",6.42,0.1284,4.173,2.1186
"25","12/13/2019",21.76,0.4352,14.144,7.1808
"26","12/13/2019",21.76,0.4352,14.144,7.1808
"27","12/13/2019",21.76,0.4352,14.144,7.1808
"28","12/13/2019",13.2,0.264,8.58,4.356
"29","12/13/2019",13.2,0.264,8.58,4.356
"30","12/14/2019",5.45,0.109,3.5425,1.7985
"31","12/14/2019",5.45,0.109,3.5425,1.7985
"32","12/16/2019",13.2,0.264,8.58,4.356
"33","12/17/2019",27.5,0.55,17.875,9.075
"34","12/17/2019",27.5,0.55,17.875,9.075
"35","12/17/2019",27.5,0.55,17.875,9.075
"36","12/17/2019",27.5,0.55,17.875,9.075
"37","12/17/2019",49.53,0.9906,32.1945,16.3449
"38","12/17/2019",49.53,0.9906,32.1945,16.3449
"39","12/17/2019",6.72,0.1344,4.368,2.2176
"40","12/17/2019",6.72,0.1344,4.368,2.2176
"41","17-Dec",13,0.26,8.45,4.29
"42","12/17/2019",6.72,0.1344,4.368,2.2176
"43","12/17/2019",14.3,0.286,9.295,4.719
"44","12/17/2019",6.72,0.1344,4.368,2.2176
"45","1/6/2020",8.81,0.1762,5.7265,2.9073
"46","1/6/2020",8.81,0.1762,5.7265,2.9073
"47","1/6/2020",38.14,0.7628,24.791,12.5862
"48","1/6/2020",38.14,0.7628,24.791,12.5862
"49","1/6/2020",38.14,0.7628,24.791,12.5862
"50","1/6/2020",38.14,0.7628,24.791,12.5862
"51","1/6/2020",38.14,0.7628,24.791,12.5862
"52","1/6/2020",38.14,0.7628,24.791,12.5862
"53","1/6/2020",38.14,0.7628,24.791,12.5862
"54","1/6/2020",8.81,0.1762,5.7265,2.9073
"55","1/6/2020",8.81,0.1762,5.7265,2.9073
"56","1/6/2020",8.81,0.1762,5.7265,2.9073
"57","1/6/2020",4.45,0.089,2.8925,1.4685
"58","1/6/2020",6.72,0.1344,4.368,2.2176
"59","1/6/2020",7.17,0.1434,4.6605,2.3661
"60","1/6/2020",7.17,0.1434,4.6605,2.3661
"61","1/6/2020",8.44,0.1688,5.486,2.7852
"62","1/6/2020",14.3,0.286,9.295,4.719
"63","1/7/2020",38.14,0.7628,24.791,12.5862
"64","1/7/2020",49.53,0.9906,32.1945,16.3449
"65","1/7/2020",49.53,0.9906,32.1945,16.3449
"66","1/7/2020",49.53,0.9906,32.1945,16.3449
"67","1/7/2020",54.3,1.086,35.295,17.919
"68","1/7/2020",54.3,1.086,35.295,17.919
"69","1/7/2020",54.3,1.086,35.295,17.919
"70","1/7/2020",16.9,0.338,10.985,5.577
"71","1/7/2020",16.9,0.338,10.985,5.577
"72","1/7/2020",16.9,0.338,10.985,5.577
"73","1/8/2020",76.4,1.528,49.66,25.212
"74","1/8/2020",76.4,1.528,49.66,25.212
"75","1/8/2020",76.4,1.528,49.66,25.212
"76","1/8/2020",4.45,0.089,2.8925,1.4685
"77","1/8/2020",18.3,0.366,11.895,6.039
"78","1/8/2020",29.2,0.584,18.98,9.636
"79","1/8/2020",29.2,0.584,18.98,9.636
"80","1/8/2020",34.63,0.6926,22.5095,11.4279
"81","1/8/2020",34.63,0.6926,22.5095,11.4279
"82","1/8/2020",19,0.38,12.35,6.27
"83","1/8/2020",19,0.38,12.35,6.27
"84","1/8/2020",13,0.26,8.45,4.29
"85","1/8/2020",4.45,0.089,2.8925,1.4685
"86","1/8/2020",4.45,0.089,2.8925,1.4685
"87","1/8/2020",5.6,0.112,3.64,1.848
"88","1/8/2020",5.6,0.112,3.64,1.848
"89","1/8/2020",5.6,0.112,3.64,1.848
"90","1/8/2020",5.6,0.112,3.64,1.848
"91","1/8/2020",5.6,0.112,3.64,1.848
"92","1/8/2020",37.93,0.7586,24.6545,12.5169
"93","1/8/2020",16,0.32,10.4,5.28
"94","1/8/2020",8.81,0.1762,5.7265,2.9073
"95","1/9/2020",8.81,0.1762,5.7265,2.9073
"96","1/9/2020",8.81,0.1762,5.7265,2.9073
"97","1/9/2020",49.65,0.993,32.2725,16.3845
"98","1/9/2020",49.65,0.993,32.2725,16.3845
"99","1/9/2020",49.65,0.993,32.2725,16.3845
"100","1/9/2020",49.65,0.993,32.2725,16.3845
"101","1/9/2020",10.5,0.21,6.825,3.465
"102","1/9/2020",10.5,0.21,6.825,3.465
"103","1/9/2020",19.6,0.392,12.74,6.468
"104","1/9/2020",19.6,0.392,12.74,6.468
"105","1/9/2020",19.6,0.392,12.74,6.468
"106","1/9/2020",19.6,0.392,12.74,6.468
"107","1/9/2020",15.42,0.3084,10.023,5.0886
"108","1/9/2020",15.42,0.3084,10.023,5.0886
"109","1/9/2020",13,0.26,8.45,4.29
"110","1/10/2020",85.5,1.71,55.575,28.215
"111","1/10/2020",85.5,1.71,55.575,28.215
"112","1/10/2020",85.5,1.71,55.575,28.215
"113","1/10/2020",32.09,0.6418,20.8585,10.5897
"114","1/10/2020",32.09,0.6418,20.8585,10.5897
"115","1/10/2020",32.09,0.6418,20.8585,10.5897
"116","1/10/2020",32.09,0.6418,20.8585,10.5897
"117","1/10/2020",32.09,0.6418,20.8585,10.5897
"118","1/10/2020",32.09,0.6418,20.8585,10.5897
"119","1/10/2020",32.09,0.6418,20.8585,10.5897
"120","2/14/2020",8.81,0.1762,5.7265,2.9073
"121","2/17/2020",17.62,0.3524,11.453,5.8146
"122","2/17/2020",17.62,0.3524,11.453,5.8146
"123","3/1/2020",64.51,1.2902,41.9315,21.2883
"124","3/1/2020",64.51,1.2902,41.9315,21.2883
"125","3/1/2020",64.51,1.2902,41.9315,21.2883
"126","3/1/2020",34.98,0.6996,22.737,11.5434
"127","6-Mar",31.65,0.633,20.5725,10.4445
"128","3/6/2020",31.65,0.633,20.5725,10.4445
"129","3/6/2020",31.65,0.633,20.5725,10.4445
"130","3/6/2020",16.08,0.3216,10.452,5.3064
"131","3/6/2020",16.08,0.3216,10.452,5.3064
"132","3/6/2020",16.08,0.3216,10.452,5.3064
"133","3/7/2020",16.08,0.3216,10.452,5.3064
"134","3/7/2020",88.21,1.7642,57.3365,29.1093
"135","3/7/2020",88.21,1.7642,57.3365,29.1093
"136","3/7/2020",88.21,1.7642,57.3365,29.1093
"137","3/7/2020",19.21,0.3842,12.4865,6.3393
"138","3/7/2020",19.21,0.3842,12.4865,6.3393
"139","3/8/2020",19.21,0.3842,12.4865,6.3393
"140","3/8/2020",19.21,0.3842,12.4865,6.3393
"141","3/8/2020",8.81,0.1762,5.7265,2.9073
"142","3/8/2020",8.81,0.1762,5.7265,2.9073
"143","3/8/2020",4.45,0.089,2.8925,1.4685
"144","3/8/2020",8.81,0.1762,5.7265,2.9073
"145","3/8/2020",4.45,0.089,2.8925,1.4685
"146","3/8/2020",4.45,0.089,2.8925,1.4685
"147","3/8/2020",13,0.26,8.45,4.29
"148","3/8/2020",7.17,0.1434,4.6605,2.3661
"149","3/8/2020",7.17,0.1434,4.6605,2.3661
"150","9/5/2020",19.21,0.3842,12.4865,6.3393
"151","9/16/2020",9.81,0.1962,6.3765,3.2373
"152","9/16/2020",9.81,0.1962,6.3765,3.2373
"153","9/16/2020",9.81,0.1962,6.3765,3.2373
"154","9/17/2020",16.11,0.3222,10.4715,5.3163
"155","9/17/2020",16.11,0.3222,10.4715,5.3163
"156","9/19/2020",4.45,0.089,2.8925,1.4685
"157","9/20/2020",4.45,0.089,2.8925,1.4685
"158","9/20/2020",6.96,0.1392,4.524,2.2968
"159","9/20/2020",6.96,0.1392,4.524,2.2968
"160","9/20/2020",3.2,0.064,2.08,1.056
"161","9/20/2020",13,0.26,8.45,4.29
"162","9/20/2020",36.5,0.73,23.725,12.045
